Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
20,500,550,50,0,0.1,0,420,80,25,25,50,0.00236909999512136
21,500,550,50,0,0.1,0,420,80,25,25,50,0.0023564999937661923
22,500,550,50,0,0.1,0,420,80,25,25,50,0.0023761999982525595
23,500,550,50,0,0.1,0,420,80,25,25,50,0.0025015999999595806
24,500,550,50,0,0.1,0,420,80,25,25,50,0.002430900000035763
25,500,550,50,0,0.1,0,420,80,25,25,50,0.0023112999988370575
26,500,550,50,0,0.1,0,420,80,25,25,50,0.0024300000004586764
27,500,550,50,0,0.1,0,420,80,25,25,50,0.0023236999986693263
28,500,550,50,0,0.1,0,420,80,25,25,50,0.0023329999967245385
29,500,550,50,0,0.1,0,420,80,25,25,50,0.002441900003759656
0,500,575,75,0,0.15,0,430,70,13,13,75,0.0031169000067166053
1,500,575,75,0,0.15,0,430,70,13,13,75,0.0029151000053389
2,500,575,75,0,0.15,0,430,70,13,13,75,0.0028612000023713335
3,500,575,75,0,0.15,0,430,70,13,13,75,0.0029023999959463254
4,500,575,75,0,0.15,0,430,70,13,13,75,0.003149600001052022
5,500,575,75,0,0.15,0,430,70,13,13,75,0.0027981000021100044
6,500,575,75,0,0.15,0,430,70,13,13,75,0.002827200005413033
7,500,575,75,0,0.15,0,430,70,13,13,75,0.0027606999938143417
8,500,575,75,0,0.15,0,430,70,13,13,75,0.0027952000018558465
9,500,575,75,0,0.15,0,430,70,13,13,75,0.002871799995773472
10,500,575,75,0,0.15,0,430,70,13,13,75,0.002792299994325731
11,500,575,75,0,0.15,0,430,70,13,13,75,0.0027847000019392
12,500,575,75,0,0.15,0,430,70,13,13,75,0.002779700000246521
13,500,575,75,0,0.15,0,430,70,13,13,75,0.0027728999993996695
14,500,575,75,0,0.15,0,430,70,13,13,75,0.0036582000029738992
15,500,575,75,0,0.15,0,430,70,13,13,75,0.0027772999965236522
16,500,575,75,0,0.15,0,430,70,13,13,75,0.0029115999932400882
17,500,575,75,0,0.15,0,430,70,13,13,75,0.002948300003481563
18,500,575,75,0,0.15,0,430,70,13,13,75,0.0027759000004152767
19,500,575,75,0,0.15,0,430,70,13,13,75,0.0027952000018558465
20,500,575,75,0,0.15,0,430,70,13,13,75,0.0027810999963548966
21,500,575,75,0,0.15,0,430,70,13,13,75,0.0027769000007538125
22,500,575,75,0,0.15,0,430,70,13,13,75,0.003040099996724166
23,500,575,75,0,0.15,0,430,70,13,13,75,0.0029079999949317425
24,500,575,75,0,0.15,0,430,70,13,13,75,0.0029375000012805685
25,500,575,75,0,0.15,0,430,70,13,13,75,0.0029167999964556657
26,500,575,75,0,0.15,0,430,70,13,13,75,0.0028369999999995343
27,500,575,75,0,0.15,0,430,70,13,13,75,0.003044899996893946
28,500,575,75,0,0.15,0,430,70,13,13,75,0.0031999999991967343
29,500,575,75,0,0.15,0,430,70,13,13,75,0.0033687000031932257
0,500,600,100,0,0.2,0,432,68,0,0,100,0.0027866999953403138
1,500,600,100,0,0.2,0,432,68,0,0,100,0.002873500001442153
2,500,600,100,0,0.2,0,432,68,0,0,100,0.002897300000768155
3,500,600,100,0,0.2,0,432,68,0,0,100,0.0028363000019453466
4,500,600,100,0,0.2,0,432,68,0,0,100,0.002881200001866091
5,500,600,100,0,0.2,0,432,68,0,0,100,0.0029854000022169203
6,500,600,100,0,0.2,0,432,68,0,0,100,0.003108299999439623
7,500,600,100,0,0.2,0,432,68,0,0,100,0.003052100000786595
8,500,600,100,0,0.2,0,432,68,0,0,100,0.002882499997213017
9,500,600,100,0,0.2,0,432,68,0,0,100,0.003064299999095965
10,500,600,100,0,0.2,0,432,68,0,0,100,0.0029807000028085895
11,500,600,100,0,0.2,0,432,68,0,0,100,0.0028070999978808686
12,500,600,100,0,0.2,0,432,68,0,0,100,0.0029027999989921227
13,500,600,100,0,0.2,0,432,68,0,0,100,0.002859200001694262
14,500,600,100,0,0.2,0,432,68,0,0,100,0.0029514999987441115
15,500,600,100,0,0.2,0,432,68,0,0,100,0.0028622000027098693
16,500,600,100,0,0.2,0,432,68,0,0,100,0.0029601999995065853
17,500,600,100,0,0.2,0,432,68,0,0,100,0.002842699999746401
18,500,600,100,0,0.2,0,432,68,0,0,100,0.0028256000005058013
19,500,600,100,0,0.2,0,432,68,0,0,100,0.0028454999992391095
20,500,600,100,0,0.2,0,432,68,0,0,100,0.0028210999953444116
21,500,600,100,0,0.2,0,432,68,0,0,100,0.0029101999971317127
22,500,600,100,0,0.2,0,432,68,0,0,100,0.002802199996949639
23,500,600,100,0,0.2,0,432,68,0,0,100,0.002822599999490194
24,500,600,100,0,0.2,0,432,68,0,0,100,0.0029167999964556657
25,500,600,100,0,0.2,0,432,68,0,0,100,0.002793999999994412
26,500,600,100,0,0.2,0,432,68,0,0,100,0.00285279999661725
27,500,600,100,0,0.2,0,432,68,0,0,100,0.0030037000033189543
28,500,600,100,0,0.2,0,432,68,0,0,100,0.0028528000038932078
29,500,600,100,0,0.2,0,432,68,0,0,100,0.0030372000037459657
0,750,788,38,0,0.05,0,662,88,57,57,38,0.0024484000023221597
1,750,788,38,0,0.05,0,662,88,57,57,38,0.002416299998003524
2,750,788,38,0,0.05,0,662,88,57,57,38,0.0024158000014722347
3,750,788,38,0,0.05,0,662,88,57,57,38,0.0024299000069731846
4,750,788,38,0,0.05,0,662,88,57,57,38,0.0024330999949597754
5,750,788,38,0,0.05,0,662,88,57,57,38,0.00241910000477219
6,750,788,38,0,0.05,0,662,88,57,57,38,0.0024604999998700805
7,750,788,38,0,0.05,0,662,88,57,57,38,0.0024612999986857176
8,750,788,38,0,0.05,0,662,88,57,57,38,0.002418999996734783
9,750,788,38,0,0.05,0,662,88,57,57,38,0.002420600001642015
10,750,788,38,0,0.05,0,662,88,57,57,38,0.0024248999980045483
11,750,788,38,0,0.05,0,662,88,57,57,38,0.002416099996480625
12,750,788,38,0,0.05,0,662,88,57,57,38,0.002426200000627432
13,750,788,38,0,0.05,0,662,88,57,57,38,0.002508099998522084
14,750,788,38,0,0.05,0,662,88,57,57,38,0.002451700005622115
15,750,788,38,0,0.05,0,662,88,57,57,38,0.0024348000006284565
16,750,788,38,0,0.05,0,662,88,57,57,38,0.0024259999991045333
17,750,788,38,0,0.05,0,662,88,57,57,38,0.0024174999998649582
18,750,788,38,0,0.05,0,662,88,57,57,38,0.002419699994788971
19,750,788,38,0,0.05,0,662,88,57,57,38,0.002407899999525398
20,750,788,38,0,0.05,0,662,88,57,57,38,0.0024228999973274767
21,750,788,38,0,0.05,0,662,88,57,57,38,0.002433599998767022
22,750,788,38,0,0.05,0,662,88,57,57,38,0.0024334999980055727
23,750,788,38,0,0.05,0,662,88,57,57,38,0.0024447999967378564
24,750,788,38,0,0.05,0,662,88,57,57,38,0.002446700003929436
25,750,788,38,0,0.05,0,662,88,57,57,38,0.0024628999963169917
26,750,788,38,0,0.05,0,662,88,57,57,38,0.0024271000002045184
27,750,788,38,0,0.05,0,662,88,57,57,38,0.002442600001813844
28,750,788,38,0,0.05,0,662,88,57,57,38,0.0024330000014742836
29,750,788,38,0,0.05,0,662,88,57,57,38,0.00243870000122115
0,750,825,75,0,0.1,0,650,100,38,38,75,0.004720599994470831
1,750,825,75,0,0.1,0,650,100,38,38,75,0.004692700000305194
2,750,825,75,0,0.1,0,650,100,38,38,75,0.004653200005122926
3,750,825,75,0,0.1,0,650,100,38,38,75,0.004667600005632266
4,750,825,75,0,0.1,0,650,100,38,38,75,0.004673700001148973
5,750,825,75,0,0.1,0,650,100,38,38,75,0.004717700001492631
6,750,825,75,0,0.1,0,650,100,38,38,75,0.0046748999957344495
7,750,825,75,0,0.1,0,650,100,38,38,75,0.004721199999039527
8,750,825,75,0,0.1,0,650,100,38,38,75,0.00471069999912288
9,750,825,75,0,0.1,0,650,100,38,38,75,0.0046861000009812415
10,750,825,75,0,0.1,0,650,100,38,38,75,0.004719099997601006
11,750,825,75,0,0.1,0,650,100,38,38,75,0.00467969999590423
12,750,825,75,0,0.1,0,650,100,38,38,75,0.004733000001579057
13,750,825,75,0,0.1,0,650,100,38,38,75,0.0046674999975948595
14,750,825,75,0,0.1,0,650,100,38,38,75,0.0046644000030937605
