Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
23,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004759999981615692
24,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004562100046314299
25,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004512500017881393
26,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005032700020819902
27,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004696300020441413
28,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004729499982204288
29,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004622399981599301
0,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003964099974837154
1,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0036607999936677516
2,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003905199992004782
3,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0037199000362306833
4,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0038277999847196043
5,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035635000094771385
6,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003589700034353882
7,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.00374549999833107
8,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003575499984435737
9,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003594699956011027
10,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035663999733515084
11,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0034285999718122184
12,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035377999884076416
13,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003499799990095198
14,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0037019000155851245
15,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035046000266447663
16,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.00354560004780069
17,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035383999929763377
18,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0034571000142022967
19,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0034238999942317605
20,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0034592999727465212
21,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0034744999720714986
22,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003484400047454983
23,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0034507999662309885
24,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0033926000469364226
25,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035639999550767243
26,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003484999993816018
27,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035277000279165804
28,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.003594699956011027
29,5,5,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0035490000154823065
0,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0029972000047564507
1,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0026566999731585383
2,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002647500019520521
3,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0026462000096216798
4,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0025340000283904374
5,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002602200023829937
6,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0025726999738253653
7,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0025451999972574413
8,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0025342999724671245
9,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002537699998356402
10,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0025976000470109284
11,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002674699993804097
12,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.00256170000648126
13,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0032041000085882843
14,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0028095999732613564
15,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002590599993709475
16,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002618199971038848
17,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0026781000196933746
18,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0025716000236570835
19,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.00254250003490597
20,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002630899951327592
21,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.00259569997433573
22,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002735899994149804
23,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0026575999800115824
24,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.00285950000397861
25,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0027070000069215894
26,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002685900020878762
27,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002656900032889098
28,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.002648899971973151
29,5,5,1,0,0.2,4,4,0,3,2,0,0,1,36,0.0026082000113092363
