Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
4,750,750,150,0,0.2,0,638,112,0,0,150,45,1.153537200007122
5,750,750,150,0,0.2,0,638,112,0,0,150,45,1.16165359999286
6,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1378016999951797
7,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1612098000041442
8,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1547984999924665
9,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1723254000098677
10,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1525262000068324
11,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1748186000040732
12,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1566352000081679
13,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1812099999951897
14,750,750,150,0,0.2,0,638,112,0,0,150,45,1.159485100011807
15,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1843744000070728
16,750,750,150,0,0.2,0,638,112,0,0,150,45,1.163488900012453
17,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1683374999993248
18,750,750,150,0,0.2,0,638,112,0,0,150,45,1.172902799997246
19,750,750,150,0,0.2,0,638,112,0,0,150,45,1.190018000008422
20,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1699411000008695
21,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1891583999968134
22,750,750,150,0,0.2,0,638,112,0,0,150,45,1.2074924999906216
23,750,750,150,0,0.2,0,638,112,0,0,150,45,1.147115500003565
24,750,750,150,0,0.2,0,638,112,0,0,150,45,1.191988600010518
25,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1541683999967063
26,750,750,150,0,0.2,0,638,112,0,0,150,45,1.157358899989049
27,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1614776000060374
28,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1598760000051698
29,750,750,150,0,0.2,0,638,112,0,0,150,45,1.1644143000012264
0,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6182600000029197
1,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6226774000024307
2,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6184217000009085
3,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6248425000012503
4,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6229414999979781
5,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6199065000000701
6,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6414430999975593
7,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6115218999984791
8,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6126499000019976
9,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6129022999994049
10,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6102737999972305
11,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6116713999981584
12,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6097847999990336
13,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6096401000031619
14,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6126648999997997
15,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6117228000002797
16,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6146119000004546
17,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6116167000000132
18,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6258458999982395
19,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6132135000007111
20,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6093553999999131
21,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6120396000005712
22,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6128379000001587
23,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6117297999990114
24,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6115325999999186
25,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.608003599998483
26,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6145350000006147
27,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6144497999994201
28,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6125738000009733
29,1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6170797999984643
0,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.175220499997522
