Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
26,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.3130001025274396E-4
27,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.344989868812263E-4
28,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.2989999959245324E-4
29,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.3110000872984529E-4
0,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.4910002937540412E-4
1,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.382000045850873E-4
2,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.2959999730810523E-4
3,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1570000788196921E-4
4,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1750101111829281E-4
5,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1630001245066524E-4
6,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1670100502669811E-4
7,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1580000864341855E-4
8,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.2370001059025526E-4
9,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1829897994175553E-4
10,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.2079998850822449E-4
11,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.2470001820474863E-4
12,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.3669999316334724E-4
13,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1999998241662979E-4
14,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1399999493733048E-4
15,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1390104191377759E-4
16,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1329998960718513E-4
17,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1870102025568485E-4
18,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1339999036863446E-4
19,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.142999972216785E-4
20,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.142999972216785E-4
21,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1399999493733048E-4
22,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1909898603335023E-4
23,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1480000102892518E-4
24,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1560000712051988E-4
25,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1649896623566747E-4
26,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1470000026747584E-4
27,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.2969999806955457E-4
28,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1350103886798024E-4
29,5,5,1,0,0.2,4,4,0,3,2,0,0,1,1.1490000179037452E-4
0,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3349897926673293E-4
1,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.309000072069466E-4
2,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3260002015158534E-4
3,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3459898764267564E-4
4,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.4029996236786246E-4
5,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3449997641146183E-4
6,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.2619898188859224E-4
7,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3070000568404794E-4
8,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.2740003876388073E-4
9,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3200001558288932E-4
10,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.2790103210136294E-4
11,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.4089897740632296E-4
12,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.325989724136889E-4
13,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3130001025274396E-4
14,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3330101501196623E-4
15,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3249897165223956E-4
16,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.351999817416072E-4
17,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3100000796839595E-4
18,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3239897089079022E-4
19,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3589899754151702E-4
20,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.3199896784499288E-4
21,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.373999984934926E-4
22,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.2930104276165366E-4
23,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.4050101162865758E-4
24,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.4279899187386036E-4
25,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.4659896260127425E-4
26,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.5490001533180475E-4
27,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.32500019390136E-4
28,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.2809899635612965E-4
29,6,6,2,0,0.33,3,3,0,4,2,0,0,2,1.297999988310039E-4
0,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.270999782718718E-4
1,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3210100587457418E-4
2,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3390003005042672E-4
3,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.2779998360201716E-4
4,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.294999965466559E-4
5,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.4519999967887998E-4
6,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.6870000399649143E-4
7,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.4739896869286895E-4
8,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3599899830296636E-4
9,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.281999866478145E-4
10,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.2919900473207235E-4
11,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.309989602304995E-4
12,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3669999316334724E-4
13,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3350002700462937E-4
14,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3270002091303468E-4
15,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3319897698238492E-4
16,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.39000010676682E-4
17,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.518990029580891E-4
18,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.813010312616825E-4
19,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3980100629851222E-4
20,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.32200017105788E-4
21,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3679999392479658E-4
22,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.5839998377487063E-4
23,6,6,2,0,0.33,5,5,0,4,2,0,0,2,2.4249899433925748E-4
24,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3109896099194884E-4
25,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.354010310024023E-4
26,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3330101501196623E-4
27,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.5819998225197196E-4
28,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.5070103108882904E-4
29,6,6,2,0,0.33,5,5,0,4,2,0,0,2,1.3070000568404794E-4
0,6,7,2,0,0.33,2,5,0,4,2,0,0,2,2.483010175637901E-4
1,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3840000610798597E-4
2,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.4429999282583594E-4
3,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3930001296103E-4
4,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.6140099614858627E-4
5,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.449999981559813E-4
6,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.433999859727919E-4
7,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3990001752972603E-4
8,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3810000382363796E-4
9,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3679999392479658E-4
10,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.4360103523358703E-4
11,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.4620099682360888E-4
12,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.439990010112524E-4
13,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.373999984934926E-4
14,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.5470001380890608E-4
15,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.928000128827989E-4
16,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.5139998868107796E-4
17,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.485000248067081E-4
18,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.773000112734735E-4
19,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3930001296103E-4
20,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.4050002209842205E-4
21,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.4640099834650755E-4
22,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.419999753125012E-4
23,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.392010017298162E-4
24,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3930001296103E-4
25,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3870000839233398E-4
26,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.401000190526247E-4
27,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.4009897131472826E-4
28,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3889896217733622E-4
29,6,7,2,0,0.33,2,5,0,4,2,0,0,2,1.3749999925494194E-4
0,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.9379897275939584E-4
1,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.697989646345377E-4
2,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.626000157557428E-4
3,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.6669899923726916E-4
4,8,8,2,0,0.25,5,5,0,6,2,0,0,2,2.2819999139755964E-4
5,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.6420002793893218E-4
6,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7219997243955731E-4
7,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7249997472390532E-4
8,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7770100384950638E-4
9,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.6409996896982193E-4
10,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7210101941600442E-4
11,8,8,2,0,0.25,5,5,0,6,2,0,0,2,2.012000186368823E-4
12,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.613000058569014E-4
13,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.8760102102532983E-4
14,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.6510102432221174E-4
15,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7870002193376422E-4
16,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.7399998614564538E-4
17,8,8,2,0,0.25,5,5,0,6,2,0,0,2,2.0539999241009355E-4
18,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.9670103210955858E-4
19,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.49501021951437E-4
20,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.5380000695586205E-4
21,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.534989569336176E-4
22,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.5029998030513525E-4
23,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.819989993236959E-4
24,8,8,2,0,0.25,5,5,0,6,2,0,0,2,1.88700039871037E-4
