Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
5,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15419390000170097
6,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15589380002347752
7,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1560095000313595
8,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1559018000261858
9,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15744249999988824
10,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1558336000307463
11,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15623570000752807
12,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1580262000206858
13,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15712340001482517
14,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15440459997626022
15,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1536985000129789
16,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.153029199980665
17,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15569839999079704
18,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15676859999075532
19,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15395040001021698
20,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1540905000292696
21,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1536640000413172
22,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1554288999759592
23,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15525130002060905
24,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1541924000484869
25,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15862609999021515
26,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15456960001029074
27,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15686960000311956
28,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15340629999991506
29,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15344439999898896
0,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29262959997868165
1,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2955882999813184
2,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2991668000468053
3,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.3006440000026487
4,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2994791000382975
5,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2961775000439957
6,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29425549996085465
7,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29261300002690405
8,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2926630000001751
9,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2978566000238061
10,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2949477999936789
11,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2919054999947548
12,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2921527000144124
13,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2998268000083044
14,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29491129994858056
15,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2956154000130482
16,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2955013000173494
17,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2921730999951251
18,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29128840001067147
19,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2933820000034757
20,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2947454999666661
21,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2924570000031963
22,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2922809000010602
23,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.3261651999782771
24,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29644999996526167
25,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29680050001479685
26,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2993358999956399
27,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29841389995999634
28,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.2953420999692753
29,1500,7365,225,0,0.15,418,1232,268,38,38,225,0.29763380001531914
0,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.46601520001422614
1,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4471870000124909
2,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.42976519995136186
3,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4326848000055179
4,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4536402999656275
5,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4364599999971688
6,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.43379330000607297
7,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4426707999664359
8,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4447797000175342
9,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.44466630002716556
10,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.46656289999373257
11,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4315255000256002
12,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.42881709994981065
13,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.44060229999013245
14,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.44665810000151396
15,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.43111449998104945
16,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4378654999891296
17,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.42962519999127835
18,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.43093660002341494
19,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.42885119997663423
20,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4335430999635719
21,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4260800000047311
22,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4244260000414215
23,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4316889999900013
24,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.42813280003611
25,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4299642999540083
26,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4244378000148572
27,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4327956000342965
28,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.42567670001881197
29,1500,9043,300,0,0.2,550,1352,148,0,0,300,0.4245694000273943
0,1750,3834,88,0,0.05,156,1168,582,132,132,88,0.07186269998783246
1,1750,3834,88,0,0.05,156,1168,582,132,132,88,0.07236519997240975
