Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
12,500,500,75,0,0.15,0,423,77,13,13,75,0.005175400001462549
13,500,500,75,0,0.15,0,423,77,13,13,75,0.006248400000913534
14,500,500,75,0,0.15,0,423,77,13,13,75,0.0055375000010826625
15,500,500,75,0,0.15,0,423,77,13,13,75,0.005867300002137199
16,500,500,75,0,0.15,0,423,77,13,13,75,0.005766599999333266
17,500,500,75,0,0.15,0,423,77,13,13,75,0.005060700001195073
18,500,500,75,0,0.15,0,423,77,13,13,75,0.005044000005000271
19,500,500,75,0,0.15,0,423,77,13,13,75,0.004926900001009926
20,500,500,75,0,0.15,0,423,77,13,13,75,0.004882900000666268
21,500,500,75,0,0.15,0,423,77,13,13,75,0.004801900002348702
22,500,500,75,0,0.15,0,423,77,13,13,75,0.005009000000427477
23,500,500,75,0,0.15,0,423,77,13,13,75,0.005101899994770065
24,500,500,75,0,0.15,0,423,77,13,13,75,0.005241900005785283
25,500,500,75,0,0.15,0,423,77,13,13,75,0.00495480000245152
26,500,500,75,0,0.15,0,423,77,13,13,75,0.004933500000333879
27,500,500,75,0,0.15,0,423,77,13,13,75,0.004955000003974419
28,500,500,75,0,0.15,0,423,77,13,13,75,0.004992700000002515
29,500,500,75,0,0.15,0,423,77,13,13,75,0.005337199996574782
0,500,500,100,0,0.2,0,420,80,0,0,100,0.0047195000006468035
1,500,500,100,0,0.2,0,420,80,0,0,100,0.004795699998794589
2,500,500,100,0,0.2,0,420,80,0,0,100,0.004633199998352211
3,500,500,100,0,0.2,0,420,80,0,0,100,0.004813299994566478
4,500,500,100,0,0.2,0,420,80,0,0,100,0.004974299998139031
5,500,500,100,0,0.2,0,420,80,0,0,100,0.004857599997194484
6,500,500,100,0,0.2,0,420,80,0,0,100,0.004924499997287057
7,500,500,100,0,0.2,0,420,80,0,0,100,0.004833999999391381
8,500,500,100,0,0.2,0,420,80,0,0,100,0.005376100001740269
9,500,500,100,0,0.2,0,420,80,0,0,100,0.004838499997276813
10,500,500,100,0,0.2,0,420,80,0,0,100,0.004827400000067428
11,500,500,100,0,0.2,0,420,80,0,0,100,0.004757399998197798
12,500,500,100,0,0.2,0,420,80,0,0,100,0.004876000006333925
13,500,500,100,0,0.2,0,420,80,0,0,100,0.005042799995862879
14,500,500,100,0,0.2,0,420,80,0,0,100,0.004682300001149997
15,500,500,100,0,0.2,0,420,80,0,0,100,0.004914899996947497
16,500,500,100,0,0.2,0,420,80,0,0,100,0.004655500000808388
17,500,500,100,0,0.2,0,420,80,0,0,100,0.004964300002029631
18,500,500,100,0,0.2,0,420,80,0,0,100,0.00458710000384599
19,500,500,100,0,0.2,0,420,80,0,0,100,0.004827800003113225
20,500,500,100,0,0.2,0,420,80,0,0,100,0.004559999993944075
21,500,500,100,0,0.2,0,420,80,0,0,100,0.004640700004529208
22,500,500,100,0,0.2,0,420,80,0,0,100,0.00458480000088457
23,500,500,100,0,0.2,0,420,80,0,0,100,0.0047037999975145794
24,500,500,100,0,0.2,0,420,80,0,0,100,0.0060174000027473085
25,500,500,100,0,0.2,0,420,80,0,0,100,0.0045812000025762245
26,500,500,100,0,0.2,0,420,80,0,0,100,0.004659099999116734
27,500,500,100,0,0.2,0,420,80,0,0,100,0.004595299993525259
28,500,500,100,0,0.2,0,420,80,0,0,100,0.004810200000065379
29,500,500,100,0,0.2,0,420,80,0,0,100,0.0045988999991095625
0,750,750,38,0,0.05,0,655,95,57,57,38,0.0057043999986490235
1,750,750,38,0,0.05,0,655,95,57,57,38,0.0057879000014509074
2,750,750,38,0,0.05,0,655,95,57,57,38,0.00580719999561552
3,750,750,38,0,0.05,0,655,95,57,57,38,0.005682199996954296
4,750,750,38,0,0.05,0,655,95,57,57,38,0.005720599998312537
5,750,750,38,0,0.05,0,655,95,57,57,38,0.005766599999333266
6,750,750,38,0,0.05,0,655,95,57,57,38,0.0060391000006347895
7,750,750,38,0,0.05,0,655,95,57,57,38,0.005688500001269858
8,750,750,38,0,0.05,0,655,95,57,57,38,0.005759599996963516
9,750,750,38,0,0.05,0,655,95,57,57,38,0.005770800002210308
10,750,750,38,0,0.05,0,655,95,57,57,38,0.005866699997568503
11,750,750,38,0,0.05,0,655,95,57,57,38,0.0056900999989011325
12,750,750,38,0,0.05,0,655,95,57,57,38,0.00580459999764571
13,750,750,38,0,0.05,0,655,95,57,57,38,0.005762199994933326
14,750,750,38,0,0.05,0,655,95,57,57,38,0.005740200002037454
15,750,750,38,0,0.05,0,655,95,57,57,38,0.005638499998894986
16,750,750,38,0,0.05,0,655,95,57,57,38,0.005674100000760518
17,750,750,38,0,0.05,0,655,95,57,57,38,0.006071900003007613
18,750,750,38,0,0.05,0,655,95,57,57,38,0.005674699998053256
19,750,750,38,0,0.05,0,655,95,57,57,38,0.00568599999678554
20,750,750,38,0,0.05,0,655,95,57,57,38,0.005672300001606345
21,750,750,38,0,0.05,0,655,95,57,57,38,0.005935499997576699
22,750,750,38,0,0.05,0,655,95,57,57,38,0.005660800001351163
23,750,750,38,0,0.05,0,655,95,57,57,38,0.006034699996234849
24,750,750,38,0,0.05,0,655,95,57,57,38,0.00606349999725353
25,750,750,38,0,0.05,0,655,95,57,57,38,0.00571720000152709
26,750,750,38,0,0.05,0,655,95,57,57,38,0.005964600000879727
27,750,750,38,0,0.05,0,655,95,57,57,38,0.005703899994841777
28,750,750,38,0,0.05,0,655,95,57,57,38,0.005691200000001118
29,750,750,38,0,0.05,0,655,95,57,57,38,0.00596459999360377
0,750,750,75,0,0.1,0,632,118,38,38,75,0.008147900000039954
1,750,750,75,0,0.1,0,632,118,38,38,75,0.007602400000905618
2,750,750,75,0,0.1,0,632,118,38,38,75,0.007726299998466857
3,750,750,75,0,0.1,0,632,118,38,38,75,0.0077059000032022595
4,750,750,75,0,0.1,0,632,118,38,38,75,0.007589799999550451
5,750,750,75,0,0.1,0,632,118,38,38,75,0.0075626999969244935
6,750,750,75,0,0.1,0,632,118,38,38,75,0.007557700002507772
